Date,Open,Max,Min,Close,Volume
2019-04-28,5282.68,5631.94,5038,5257.42,0
2019-05-05,5257.48,5899.08,5168.84,5825.53,0
2019-05-12,5825.21,7540.8,5646.59,7142.78,0
2019-05-19,7145.1,8352.25,6704.57,8077.95,0
2019-05-26,8079.85,8732.34,7482.87,8644.8,0
2019-06-02,8646.55,9060.05,8034.15,8708.33,0
2019-06-09,8709.48,8756.02,7471.1,7649.37,0
2019-06-16,7647.42,9371.82,7534.41,9037.88,0
2019-06-23,9041.2,11283.03,8942.66,10949.62,0
2019-06-30,10939.94,13823.31,10338.29,11285.58,0
2019-07-07,11282.09,12054.87,9682.19,11538.22,0
2019-07-14,11538.89,13176.59,10332.21,10664.41,0
2019-07-21,10662.56,11084.81,9092.37,10568.3,0
2019-07-28,10568.8,10676.6,9310.78,9456.99,0
2019-08-04,9456.51,11032.27,9140.86,10966.15,0
2019-08-11,10964.54,12316.04,10952.14,11504.72,0
2019-08-18,11503.71,11583.27,9501.36,10424.56,0
2019-08-25,10426.84,10955.86,9778.77,10003.61,0
2019-09-01,10003.38,10625.62,9346.83,9711.99,0
2019-09-08,9711.92,10937.22,9711.92,10423.59,0
2019-09-15,10427.06,10508,9882.05,10305.35,0
2019-09-22,10305.65,10402.82,9644.28,10065.91,0
2019-09-29,10067.38,10095.79,7757.63,8060.48,0
2019-10-06,8059.37,8534.94,7843.53,7941.72,0
2019-10-13,7941.49,8814.95,7799.75,8463.4,0
2019-10-20,8321.64,8425.43,7854.73,8221.14,0
2019-10-27,8219.25,10361.46,7344.89,9573.31,0
2019-11-03,9582.56,9934.04,8975.69,9233.74,0
2019-11-10,9237.35,9564.96,8687.33,9099.11,0
2019-11-17,9099.31,9111.84,8399.72,8555.82,0
2019-11-24,8555.74,8562.32,6820.53,7057.84,0
2019-12-01,7056.29,7865.56,6561.6,7404.17,0
2019-12-08,7404.15,7757.98,7113.67,7573.33,0
2019-12-15,7573.03,7661.31,7030.7,7137.45,0
2019-12-22,7137.11,7467.14,6451.5,7416.47,0
2019-12-29,7416.44,7694.44,7087.77,7410.48,0
2020-01-05,7411.01,7500.83,6882.62,7355.25,0
2020-01-12,7355.62,8457.01,7336.35,8155.78,0
2020-01-19,8157.01,9176.7,8057.58,8636.45,0
2020-01-26,8636.3,8791.54,8226,8564.38,0
2020-02-02,8565.12,9559.58,8563.12,9392.97,0
2020-02-09,9391.22,10161.31,9089.96,10113.05,0
2020-02-16,10112.27,10499.54,9640.84,9872.16,0
2020-02-23,9875.03,10296.28,9355.55,9925.76,0
2020-03-01,9930.66,10018.69,8445.67,8565.58,0
2020-03-08,8568.82,9216.51,8191.88,8194.35,0
2020-03-15,8191.99,8264.82,3953.37,5362.88,0
2020-03-22,5359.53,6921.28,4459.22,5884.5,0
2020-03-29,5884.5,6978.39,5703.64,5914.65,0
2020-04-05,5912.8,7234.86,5874.97,6768.56,0
2020-04-12,6768.65,7460.26,6764.19,7131.02,0
2020-04-19,7131.09,7301.82,6493.53,7205.19,0
2020-04-26,7201.81,7726.49,6772.31,7633.16,0
2020-05-03,7634.78,9457.54,7590.36,8862.19,0
2020-05-10,8860.19,10061.09,8258.16,8726.03,0
2020-05-17,8724.44,9933.09,8242.53,9761.77,0
2020-05-24,9761.56,9940.71,8812.57,9055.57,0
2020-05-31,9058.01,9735.11,8642.57,9463.44,0
2020-06-07,9463.42,10357.59,9349.83,9710.79,0
2020-06-14,9710.78,9987.37,9095.89,9338.84,0
2020-06-21,9340.39,9581.72,8910.56,9328.56,0
2020-06-28,9328.63,9773.86,8869.99,9124.24,0
2020-07-05,9124.89,9299.29,8941.13,9040.05,0
2020-07-12,9039.31,9471.56,9039.31,9268.97,0
2020-07-19,9269.46,9336.28,9037.89,9175.75,0
2020-07-26,9175.91,10138.4,9137.99,9888.63,0
2020-08-02,9889.27,12105.74,9889.27,11136.86,0
2020-08-09,11137.39,11911.96,10955.56,11648.47,0
2020-08-16,11650.41,12072.04,11141.58,11862.5,0
2020-08-23,11861.52,12474.48,11379.9,11671.43,0
2020-08-30,11671.41,11827.45,11134.75,11607.49,0
2020-09-06,11609.02,12054.87,9884.21,10329.05,0
2020-09-13,10329.34,10578.85,9868.75,10303.68,0
2020-09-20,10303.93,11172.12,10259.71,10876.56,0
2020-09-27,10876.09,10991.97,10167.34,10726.61,0
2020-10-04,10734.61,10949.59,10389.82,10653.73,0
2020-10-11,10653.27,11484.57,10533.32,11328.49,0
2020-10-18,11325.33,11721.44,11226.17,11463.3,0
2020-10-25,11462.26,13346.47,11417.25,13020.76,0
2020-11-01,13020.59,14072.54,12798.27,13698.19,0
2020-11-08,13701.09,15947.65,13224.04,15520.06,0
2020-11-15,15522.37,16481.47,14834.05,15942.33,0
2020-11-22,15937.06,18965.93,15878.89,18627.71,0
2020-11-29,18575.37,19487.42,16274.74,18161.34,0
2020-12-06,18159.02,19909.56,18153.13,19145.13,0
2020-12-13,19147.05,19414.57,17598.61,19111.32,0
2020-12-20,19109.56,24240.62,19010.03,23484.48,0
2020-12-27,23485.42,28329.16,22040.08,26473.92,0
2021-01-03,26481.85,34770.72,25882.73,33148.12,0
2021-01-10,33146.98,41945.44,28496.8,38455.04,0
