Date;Open;High;Low;Close;Volume
05.04.2010;456.0;479.75;447.0;465.75;218721
12.04.2010;469.0;491.25;463.5;490.5;295143
19.04.2010;489.0;499.5;466.75;493.25;142178
26.04.2010;492.5;502.5;449.0;491.75;75236
03.05.2010;493.5;506.25;480.5;500.25;21152
10.05.2010;498.0;502.5;463.0;463.5;36380
17.05.2010;471.0;475.0;461.25;472.0;168220
24.05.2010;473.75;476.0;456.25;457.75;220578
31.05.2010;457.75;461.25;435.25;435.75;215455
07.06.2010;435.25;449.0;425.5;440.75;322907
14.06.2010;442.75;470.0;441.75;461.75;286861
21.06.2010;462.75;470.0;455.25;456.25;166656
28.06.2010;455.5;492.0;440.0;487.75;91445
05.07.2010;487.75;534.5;487.75;523.5;16165
12.07.2010;523.5;598.5;520.0;587.25;225106
19.07.2010;582.5;610.0;572.75;596.25;236866
26.07.2010;596.25;663.0;582.5;661.5;282607
02.08.2010;660.0;841.0;657.0;725.75;489230
09.08.2010;710.75;738.25;680.5;702.5;440452
16.08.2010;700.0;709.0;645.0;679.0;165368
23.08.2010;679.0;697.0;646.5;662.5;88856
30.08.2010;666.0;709.25;650.5;708.25;65854
06.09.2010;711.25;713.0;678.0;704.75;12663
13.09.2010;705.75;744.25;701.5;739.25;177193
20.09.2010;738.5;757.0;693.0;720.0;217069
27.09.2010;722.0;731.0;646.5;655.0;273201
04.10.2010;650.0;719.25;643.5;719.25;194635
11.10.2010;737.5;739.75;695.0;704.5;245987
18.10.2010;701.75;709.0;665.0;670.75;189569
25.10.2010;669.25;725.0;669.0;717.25;265440
01.11.2010;724.5;731.5;680.5;728.75;289621
08.11.2010;730.0;760.75;661.25;669.25;398952
15.11.2010;673.5;685.0;617.75;644.5;309343
22.11.2010;643.75;656.0;634.5;648.25;131180
29.11.2010;649.25;737.0;645.0;738.0;87975
06.12.2010;747.75;761.5;725.75;735.5;3172
13.12.2010;743.0;776.5;720.0;756.75;142318
20.12.2010;760.5;788.25;756.0;783.0;102355
27.12.2010;775.0;806.25;766.0;794.25;109242
03.01.2011;793.5;825.0;772.0;774.0;207716
10.01.2011;777.25;790.5;758.25;773.25;261531
17.01.2011;777.5;830.0;773.5;824.5;214624
24.01.2011;829.25;863.5;820.75;825.75;272499
31.01.2011;824.0;872.75;823.0;853.75;280405
07.02.2011;861.0;893.25;844.0;867.0;359271
14.02.2011;876.5;884.75;817.25;822.25;326243
21.02.2011;825.0;835.5;723.0;776.5;183516
28.02.2011;783.5;802.5;764.5;800.5;17529
07.03.2011;790.0;790.0;696.0;695.0;1415
14.03.2011;690.0;749.0;656.0;723.0;319408
21.03.2011;724.0;753.0;705.25;733.25;219593
28.03.2011;736.0;774.0;721.0;759.5;246723
04.04.2011;765.5;802.25;757.25;797.5;308863
11.04.2011;803.0;809.25;730.0;744.25;317917
18.04.2011;745.0;808.5;740.5;799.5;156192
25.04.2011;808.5;830.0;736.5;769.25;93010
02.05.2011;772.0;793.0;709.25;724.5;6313
09.05.2011;752.0;778.75;701.0;696.0;50152
16.05.2011;730.0;834.5;729.75;806.5;335104
23.05.2011;816.5;828.75;777.5;819.75;273762
30.05.2011;794.0;807.5;754.25;773.75;283799
06.06.2011;772.75;778.0;731.25;759.25;431481
13.06.2011;760.75;770.0;664.0;672.25;303187
20.06.2011;673.5;681.25;606.0;635.75;175660
27.06.2011;636.75;664.25;565.25;584.5;75097
04.07.2011;589.25;652.5;589.25;650.5;4638
11.07.2011;643.0;716.5;617.5;694.75;101653
18.07.2011;694.75;727.75;669.25;692.25;227809
25.07.2011;683.75;714.75;669.75;672.5;232628
01.08.2011;671.25;723.0;664.25;679.0;287817
08.08.2011;667.5;722.75;642.25;702.5;319283
15.08.2011;704.25;739.25;699.5;730.75;132375
22.08.2011;734.0;768.5;730.75;762.25;101888
29.08.2011;762.25;771.5;713.5;730.0;54323
05.09.2011;720.25;726.0;701.0;701.0;2817
12.09.2011;690.0;709.5;684.5;688.25;133455
19.09.2011;688.0;691.25;632.25;640.75;246290
26.09.2011;645.0;670.0;605.0;609.25;304286
03.10.2011;609.25;639.75;596.75;607.5;281037
10.10.2011;608.0;665.25;605.0;622.75;315519
17.10.2011;623.5;649.5;613.0;632.0;223730
24.10.2011;632.0;652.75;616.5;644.5;230954
31.10.2011;645.0;648.0;612.0;636.75;242161
07.11.2011;636.75;659.25;609.5;616.75;359038
14.11.2011;616.75;639.75;586.5;598.25;255846
21.11.2011;597.75;602.0;572.25;574.5;109827
28.11.2011;578.5;620.0;572.5;612.25;56218
05.12.2011;612.75;617.25;567.75;573.5;5584
12.12.2011;574.0;598.0;572.0;583.75;111232
19.12.2011;585.0;627.75;581.75;622.0;165259
26.12.2011;627.5;656.0;627.0;652.75;135220
02.01.2012;666.0;670.75;624.5;624.75;198395
09.01.2012;626.0;648.75;592.0;602.25;331445
16.01.2012;603.25;612.0;590.0;610.5;226178
23.01.2012;613.5;658.25;613.5;647.25;322815
30.01.2012;646.75;683.75;635.25;660.75;337412
06.02.2012;660.5;672.0;628.25;630.0;325228
13.02.2012;635.0;646.75;621.0;644.0;270418
20.02.2012;648.0;648.75;623.5;641.0;167119
27.02.2012;644.0;671.5;630.0;670.75;50535
05.03.2012;670.75;673.0;630.0;638.75;1471
12.03.2012;635.25;673.0;631.0;672.0;160188
19.03.2012;671.5;675.25;631.25;654.25;240447
26.03.2012;655.5;670.5;611.25;660.75;401864
02.04.2012;663.75;666.5;635.5;638.5;196821
09.04.2012;637.25;653.25;618.5;623.5;398892
16.04.2012;623.25;628.25;604.25;615.75;219026
23.04.2012;616.25;646.0;614.25;642.25;134792
30.04.2012;645.0;649.75;594.0;603.75;10390
07.05.2012;600.0;613.0;589.75;592.75;2987
14.05.2012;600.25;697.5;597.5;695.25;416788
21.05.2012;700.0;722.0;661.75;680.0;478531
28.05.2012;675.0;684.0;611.0;612.25;349081
