Date,Open,Max,Min,Close,Volume
1986-08-31,14.6565,15.9098,14.3154,15.7656,61641978.792032
1986-09-30,15.8146,15.9619,14.2195,14.4131,92963430.705041
1986-10-31,14.4628,15.5238,14.172,15.2836,75937563.884676
1986-11-30,15.378,16.7804,14.944,16.6354,80979819.170574
1986-12-31,16.4463,17.7966,16.3463,17.2183,115793282.12225
1987-01-31,17.3136,20.8452,17.3136,20.0717,141709228.29876
1987-02-28,20.1206,20.8934,19.3454,20.6997,106134534.91063
1987-03-31,20.7468,22.3453,20.4097,20.9909,104409122.24504
1987-04-30,20.7468,22.6342,19.8779,20.7468,128151049.5292
1987-05-31,20.6514,21.522,19.684,20.8452,97365038.470987
1987-06-30,21.1313,22.4887,20.5547,21.7638,84751460.154521
1987-07-31,21.7638,23.8427,21.4747,23.7482,73922589.482303
1987-08-31,23.3606,26.5999,23.021,25.052,94312198.203264
1987-09-30,25.1961,25.3915,22.9235,24.6179,101453047.12746
1987-10-31,24.6179,25.1473,15.5238,18.9593,169271428.57919
1987-11-30,18.2346,19.1532,16.4943,16.9749,93669572.956937
1987-12-31,16.8308,18.9593,15.6223,17.702,105113769.14285
1988-01-31,17.8958,19.1996,16.9254,18.0873,78001405.138507
1988-02-29,18.1842,18.3299,16.6354,18.2346,79002810.005977
1988-03-31,18.1842,18.282,16.0106,16.154,89948052.992393
1988-04-30,16.154,17.1678,15.6223,16.154,85282676.443601
1988-05-31,16.1061,16.9254,15.378,16.8308,66536856.650294
1988-06-30,16.8308,17.8462,16.7346,17.5563,80023319.354807
1988-07-31,17.702,17.9423,16.2503,17.1207,60658447.08719
1988-08-31,17.0246,17.2681,15.6223,16.154,66366647.780682
1988-09-30,16.0556,17.6517,15.7656,17.3626,68467716.75045
1988-10-31,17.3626,18.1369,17.0734,17.4611,62953287.54338
1988-11-30,17.4611,18.3299,16.8796,18.0393,72256474.334175
1988-12-31,18.0393,18.6702,17.4097,17.9423,69703592.631344
1989-01-31,17.8958,19.4415,17.4097,19.3942,84761385.599023
1989-02-28,19.3942,19.6361,18.0873,18.3299,61541988.094574
1989-03-31,18.282,18.6702,17.5075,17.8462,74011908.327616
1989-04-30,17.8958,19.7306,17.8462,19.5872,64118950.329724
1989-05-31,19.4415,22.0528,18.8128,21.9087,105494638.87593
1989-06-30,21.9087,22.5398,20.6026,20.6997,78165167.991086
1989-07-31,20.7987,23.4567,20.6026,23.4567,63400898.559946
1989-08-31,23.4567,23.6978,22.2955,23.07,75231671.704729
1989-09-30,22.9731,23.4567,21.9561,22.6342,59199505.758654
1989-10-31,22.7792,23.7482,21.1313,22.1994,86240174.008362
1989-11-30,22.1994,24.9567,21.1313,24.8598,72516010.934904
1989-12-31,24.9567,25.9217,24.7148,25.8271,62727503.039322
