Date,Open,Max,Min,Close
1995-09-10,97.3,100.21,96.77,99.7
1995-09-17,99.5,104.18,99.04,104.1
1995-09-24,104.24,104.7,97.1,100.05
1995-10-01,100.36,101.48,97.4,99.8
1995-10-08,99.7,101.75,99.2,100.4
1995-10-15,100.93,101.4,99.68,100.94
1995-10-22,100.85,101,99.4,100.25
1995-10-29,100.2,101.95,99.35,101.81
1995-11-05,101.78,104.1,101.23,103.8
1995-11-12,103.98,104.03,99.7,100.83
1995-11-19,100.82,102.42,100.08,102.1
1995-11-26,102.12,102.79,100.4,101.45
1995-12-03,101.63,102.25,100.83,101.1
1995-12-10,101.26,101.65,100.5,101.2
1995-12-17,101.13,102.25,100.7,102
1995-12-24,101.96,102.82,101.3,102.27
1995-12-31,101.95,103.49,101.95,103.35
1996-01-07,103.41,106.55,103.07,105.36
1996-01-14,105.55,105.75,104.01,105.2
1996-01-21,105.22,106.23,104.84,105.32
1996-01-28,105.3,107.5,105.26,106.6
1996-02-04,106.65,107.57,106.27,106.4
1996-02-11,106.36,107.4,104.6,106.98
1996-02-18,107.05,107.11,104.78,105.15
1996-02-25,105.08,106.55,103.54,104.8
1996-03-03,104.82,105.83,103.3,105.32
1996-03-10,105.29,106.13,104.84,105.72
1996-03-17,106.11,106.38,104.95,105.76
1996-03-24,105.89,107.18,105.65,106.8
1996-03-31,106.57,107.25,105.9,107.17
1996-04-07,107.3,107.97,106.6,107.63
1996-04-14,107.73,108.98,107.2,108.62
1996-04-21,108.7,108.87,106.2,107.3
1996-04-28,107.43,107.55,105.14,105.4
1996-05-05,105.32,105.65,103.75,105
1996-05-12,104.9,105.63,104.5,105.45
1996-05-19,105.3,107.1,104.75,106.77
1996-05-26,106.65,107.95,106.55,107.85
1996-06-02,107.9,109,106.68,108.04
1996-06-09,107.96,109.52,107.35,109.27
1996-06-16,109.2,109.7,107.85,109.18
1996-06-23,109.12,109.24,107.6,109.12
1996-06-30,108.85,109.98,108.62,109.7
